Entry,Name,Level,Health,Mana,Armor,Copper,Holy,Fire,Nature,Frost,Shadow,Arcane
2956,Adult Plainstrider,8,141,0,306,0,0,0,0,0,0,0
2674,Advanced Target Dummy,1,64,0,8,1,0,0,0,0,0,0
2918,Advisor Belgrum,40,2471,0,1938,0,0,0,0,0,0,0
12790,Advisor Willington,62,4079,0,4344,0,0,0,0,0,0,0
5797,Aean Swiftriver Alliance Outrunner,26,1991,0,1043,267,0,0,0,0,0,0
1478,Aedis Brom,30,1605,0,1179,0,0,0,0,0,0,0
4606,Aelthalyste Priest Trainer,60,3139,0,3750,0,0,0,0,0,0,0
15293,Aendel Windspear,60,3857,2434,3748,0,0,0,0,0,0,0
3952,Aeolynn Clothier,22,1042,0,906,0,0,0,0,0,0,0
13161,Aerie Gryphon,60,19800,0,3750,767,0,0,0,0,0,0
2302,Aethalas Warsong Gulch Battlemaster,61,10626,0,4047,0,0,0,0,0,0,0
6240,Affray Challenger,27,901,0,1078,50,0,0,0,0,0,0
6249,Affray Spectator,42,2666,0,2218,0,0,0,0,0,0,0
8576,Ag'tor Bloodfist,45,2972,0,2695,0,0,0,0,0,0,0
2162,Agal,8,155,0,306,14,0,0,0,0,0,0
4511,Agam'ar,25,2130,0,1008,0,0,0,0,0,0,0
4422,Agathelos the Raging,33,9034,0,1281,0,0,0,0,0,0,0
4700,Aged Kodo,35,1635,0,1349,0,0,0,0,0,0,0
7024,Agent Kearnen,22,1042,0,906,0,0,0,0,0,0,0
5724,Ageron Kargal,15,644,0,665,0,0,0,0,0,0,0
4424,Aggem Thorncurse Death's Head Prophet,30,4224,1536,1178,301,0,0,0,0,0,0
13086,Aggi Rumblestomp,56,8774,0,3289,713,0,0,0,0,0,0
9660,Agnar Beastamer,47,3184,0,2804,0,0,0,0,0,0,0
1349,Agustus Moulaine Mail Armor Merchant,30,1605,0,1179,0,0,0,0,0,0,0
8359,Ahanu Leather Armor Merchant,30,1605,0,1179,0,0,0,0,0,0,0
15426,Ahn'Qiraj Trigger,60,4120,0,3750,0,0,0,0,0,0,0
4160,Ainethil Artisan Alchemist,46,3077,0,2750,0,0,0,0,0,0,0
5898,Air Spirit,1,64,0,8,1,0,0,0,0,30,0
717,Ajeck Rouack,40,2471,0,1938,0,0,0,0,0,0,0
3521,Ak'Zeloth,22,1042,0,906,0,0,0,0,0,0,0
3773,Akkrilus,26,676,693,1042,49,0,0,0,0,0,104
4829,Aku'mai,28,8703,0,1111,0,0,0,0,0,0,0
4824,Aku'mai Fisher,24,2228,0,975,0,0,0,0,0,0,0
4978,Aku'mai Servant,26,1904,1320,871,237,0,130,26,26,26,26
4825,Aku'mai Snapjaw,27,2421,0,1078,0,0,0,0,0,0,0
8298,Akubar the Seer,54,2452,2041,3178,133,0,0,0,0,0,0
14903,Al'tabim the All-Seeing,60,9298,0,3750,0,0,0,0,0,0,0
3562,Alaindia Reagents,30,1605,0,1179,0,0,0,0,0,0,0
460,Alamar Grimm Warlock Trainer,5,166,0,111,0,0,0,0,0,0,0
3606,Alanna Raveneye Journeyman Enchanter,29,939,0,1145,0,0,0,0,0,0,0
3702,Alanndarian Nightsong,19,860,0,802,0,0,0,0,0,0,0
7897,Alarm-a-bomb 2600,20,919,0,836,0,0,0,0,0,0,0
14434,Alarm-o-Bot,1,64,0,8,1,0,0,0,0,0,0
10056,Alassin Stable Master,30,1605,0,1179,0,0,0,0,0,0,0
7561,Albino Snake,1,5000,0,8,0,0,0,0,0,0,0
14633,Albino Snapjaw,1,5000,0,8,0,0,0,0,0,0,0
11056,Alchemist Arbington,58,4484,5461,2740,0,0,0,0,0,0,0
1215,Alchemist Mallory Journeyman Alchemist,26,1309,0,1043,0,0,0,0,0,0,0
4900,Alchemist Narett Expert Alchemist,37,2192,0,1568,0,0,0,0,0,0,0
5594,Alchemist Pestlezugg Alchemy Supplies,45,2972,0,2695,0,0,0,0,0,0,0
3608,Aldia General Supplies,17,748,0,734,0,0,0,0,0,0,0
1214,Aldren Cordon Clothier,18,804,0,768,0,0,0,0,0,0,0
1294,Aldric Moore Mail Armor Merchant,30,1605,0,1179,0,0,0,0,0,0,0
16001,Aldris Fourclouds,5,53,0,111,0,0,0,0,0,0,0
4974,Aldwin Laughlin Guild Master,50,3517,0,2966,0,0,0,0,0,0,0
4210,Alegorn Cooking Trainer,35,2016,0,1349,0,0,0,0,0,0,0
8308,Alenndaar Lapidaar Hunter Trainer,27,1380,0,1078,0,0,0,0,0,0,0
7683,Alessandro Luca Blue Moon Odds & Ends,35,2016,0,1349,0,0,0,0,0,0,0
5173,Alexander Calder Warlock Trainer,60,3139,0,3750,0,0,0,0,0,0,0
8378,Alexandra Blazen,45,2972,3801,2177,0,0,0,0,0,0,0
1347,Alexandra Bolero Tailoring Supplies,30,1605,0,1179,0,0,0,0,0,0,0
8609,Alexandra Constantine Gryphon Master,55,7423,0,3234,0,0,0,0,0,0,0
3552,Alexandre Lefevre Leather Armor Merchant,18,804,0,768,0,0,0,0,0,0,0
11022,Alexi Barov House of Barov,60,34267,0,3750,0,0,0,0,0,0,0
11609,Alexia Ironknife,51,2372,1864,3017,0,0,0,0,0,0,0
4610,Algernon Alchemy Supplies,30,1605,0,1179,0,0,0,0,0,0,0
3898,Aligar the Tormentor,24,2100,0,975,52,0,0,0,0,0,96
2412,Alina,33,1217,0,1281,71,0,0,0,0,0,0
1315,Allan Hafgan Staves Merchant,30,1605,0,1179,0,0,0,0,0,0,0
14465,Alliance Battle Standard,1,1462,0,11,1,0,0,0,0,0,0
15351,Alliance Brigadier General,60,3857,0,3750,0,0,0,0,0,0,0
12048,Alliance Sentinel,55,2633,0,3234,316,0,0,0,0,0,0
17765,Alliance Silithyst Sentinel,60,6800,0,3750,0,0,0,0,0,0,0
13116,Alliance Spirit Guide,60,8609,7860,3025,844,0,0,0,0,0,0
17794,Alliance Tower Buffer,1,8,0,8,0,0,0,0,0,0,0
4191,Allyndia Food & Drink Vendor,15,644,0,665,0,0,0,0,0,0,0
812,Alma Jainrose Herbalism Trainer,20,919,0,836,0,0,0,0,0,0,0
14480,Alowicious Czervik Sweet Treats,10,413,0,463,0,0,0,0,0,0,0
14340,Alshirr Banebreath,54,3233,0,3180,155,0,0,0,0,0,216
10990,Alterac Ram,51,3096,0,3018,316,0,0,0,0,0,0
15972,Alterac Valley Battlemaster,1,8,0,8,0,0,0,0,0,0,0
13959,Alterac Yeti,61,21650,0,4047,786,0,0,0,0,0,0
10379,Altsoba Ragetotem Weapon Merchant,40,2471,0,1938,0,0,0,0,0,0,0
15288,Aluntir Hive'Ashi Overlord,62,97310,9544,3500,4836,0,0,0,0,0,0
3593,Alyissia Warrior Trainer,11,456,0,528,0,0,0,0,0,0,0
5665,Alyssa Blaye,20,919,0,836,0,0,0,0,0,0,0
1673,Alyssa Eva Reagents,7,228,0,230,0,0,0,0,0,0,0
1321,Alyssa Griffith Bag Vendor,30,1605,0,1179,0,0,0,0,0,0,0
11494,Alzinn Trigger,1,5000,0,8,0,0,0,0,0,0,0
11492,Alzzin the Wildshaper,58,32196,11445,3394,1906,0,0,180,0,0,0
11460,Alzzin's Minion,56,672,0,3289,0,0,0,0,0,0,0
3582,Aman,50,3517,2103,2393,224,0,0,0,0,0,0
7826,Ambassador Ardalan,55,4108,0,3234,0,0,0,0,0,0,0
271,Ambassador Berrybuck Council of Darkshire,30,1605,0,1179,0,0,0,0,0,0,0
7895,Ambassador Bloodrage,36,2370,2134,1455,404,0,0,0,0,0,0
9156,Ambassador Flamelash,57,27840,0,3342,1682,0,0,0,0,0,0
2745,Ambassador Infernus,42,3953,1381,2216,0,0,210,42,42,42,42
12865,Ambassador Malcin,36,14500,2134,1455,270,0,0,0,0,0,0
11785,Ambereye Basilisk,41,5102,0,2074,0,0,0,0,0,0,0
11786,Ambereye Reaver,42,5301,0,2218,0,0,0,0,0,0,0
11781,Ambershard Crusher,41,5198,0,3111,0,0,0,0,0,0,129
11782,Ambershard Destroyer,43,5256,0,3554,0,0,0,0,0,0,132
6732,Amie Pierce,30,1605,0,1179,0,0,0,0,0,0,0
7358,Amnennar the Coldbringer,41,10253,2572,2072,653,0,0,0,0,0,0
777,Amy Davenport Tradeswoman,20,919,0,836,0,0,0,0,0,0,0
1059,Ana'thek the Cruel Skullsplitter Chief,45,2199,0,2695,115,0,0,0,0,0,0
15192,Anachronos,61,262000,262000,4044,0,0,0,0,0,0,0
15410,Anachronos Dragon Form,1,5000,0,8,0,0,0,0,0,0,0
15454,Anachronos Quest Trigger Invisible,1,8,0,8,0,0,0,0,0,0,0
15381,Anachronos the Ancient,63,372820,159,3736,120000,0,0,0,0,0,0
4172,Anadyia Robe Vendor,30,1605,0,1179,0,0,0,0,0,0,0
4568,Anastasia Hartwell Mage Trainer,40,2471,0,1938,0,0,0,0,0,0,0
2754,Anathemus,45,8190,0,2695,850,0,0,0,0,0,0
6245,Anathera,1,64,0,8,1,0,0,0,0,0,0
3843,Anaya,14,594,0,630,7,0,0,0,0,0,0
3667,Anaya Dawnrunner,16,354,0,700,28,0,0,0,0,0,0
2994,Ancestral Spirit,9,372,0,387,0,0,0,0,0,0,0
11673,Ancient Core Hound,62,113295,0,4344,0,0,93,0,0,0,0
14566,Ancient Equine Spirit,60,3052,0,3750,0,0,0,0,0,0,0
4702,Ancient Kodo,37,1910,0,1568,0,0,0,0,0,0,0
15304,Ancient Mana Spring Totem,1,64,53,5,1,0,0,0,0,0,0
3468,Ancient of Lore,62,6413,0,4344,0,0,0,0,0,0,0
3469,Ancient of War,62,6460,0,4344,0,0,0,0,0,0,0
2041,Ancient Protector,60,6075,0,3750,0,0,0,0,0,0,0
7206,Ancient Stone Keeper,44,8910,0,5056,598,0,0,0,0,0,0
7394,Ancona Chicken,1,64,0,8,1,0,0,0,0,0,0
914,Ander Germaine Warrior Trainer,60,6139,0,3750,0,0,0,0,0,0,0
3507,Andi,1,64,0,8,0,0,0,0,0,0,0
11758,Andi Lynn,48,3294,0,2857,0,0,0,0,0,0,0
3592,Andiss Armorer & Shieldcrafter,10,413,0,463,0,0,0,0,0,0,0
15502,Andorgos Brood of Malygos,60,55000,5751,3025,0,0,0,0,0,0,0
10905,Andorhal Tower Four,1,64,0,8,0,0,0,0,0,0,0
10902,Andorhal Tower One,1,64,0,8,0,0,0,0,0,0,0
10904,Andorhal Tower Three,1,64,0,8,0,0,0,0,0,0,0
10903,Andorhal Tower Two,1,64,0,8,0,0,0,0,0,0,0
7883,Andre Firebeard,45,2370,0,2695,115,0,0,0,0,0,0
3554,Andrea Boynton Clothier,18,804,0,768,0,0,0,0,0,0,0
1482,Andrea Halloran,20,919,0,836,0,0,0,0,0,0,0
2308,Andrew Brownell,40,2471,0,1938,0,0,0,0,0,0,0
5659,Andrew Hartwell,20,919,0,836,0,0,0,0,0,0,0
3556,Andrew Hilbert Trade Supplies,18,804,0,768,0,0,0,0,0,0,0
2046,Andrew Krighton Armorer & Shieldcrafter,8,334,0,306,0,0,0,0,0,0,0
2816,Androd Fadran Leatherworking Supplies,37,2192,0,1568,0,0,0,0,0,0,0
3607,Androl Oakhand Fishing Trainer,37,1624,0,1568,0,0,0,0,0,0,0
6522,Andron Gant,15,622,0,665,0,0,0,0,0,0,0
11901,Andruk Wind Rider Master,55,7423,0,3234,0,0,0,0,0,0,0
4234,Andrus Staff Merchant,30,1605,0,1179,0,0,0,0,0,0,0
1747,Anduin Wrynn King of Stormwind,5,166,0,111,115,0,0,0,0,0,0
4594,Angela Curthas Warrior Trainer,50,3517,0,2966,0,0,0,0,0,0,0
7900,Angelas Moonbreeze,50,3517,0,2966,0,0,0,0,0,0,0
9035,Anger'rel,55,11884,0,3234,0,0,0,0,0,0,0
8956,Angerclaw Bear,48,3357,0,2857,0,0,0,0,0,0,0
8957,Angerclaw Grizzly,52,3748,0,3060,0,0,0,0,0,0,0
8958,Angerclaw Mauler,50,3323,0,2966,0,0,0,0,0,0,0
8608,Angered Infernal,53,3187,0,3128,239,0,300,0,0,0,0
2856,Angrun Herbalism Trainer,40,2471,0,1938,0,0,0,0,0,0,0
6426,Anguished Dead,33,3300,0,1281,264,0,0,0,0,0,0
7524,Anguished Highborne,56,2933,2163,3287,145,0,0,0,0,0,0
10610,Angus Dwarven Mortar Team,11,456,0,528,0,0,0,0,0,0,0
1141,Angus Stern Head Chef,60,3857,0,3750,0,0,0,0,0,0,0
3920,Anilia,25,1240,0,1008,0,0,0,0,0,0,0
4215,Anishar Rogue Trainer,50,3517,0,2966,0,0,0,0,0,0,0
16110,Annalise Lerent,1,8,0,8,0,0,0,0,0,0,0
11073,Annora Master Enchanter,54,3293,0,3180,0,0,0,0,0,0,0
11869,Ansekhwa Weapon Master,50,6830,0,2966,0,0,0,0,0,0,0
10059,Antarius Stable Master,30,1605,0,1179,0,0,0,0,0,0,0
16016,Anthion Harmon,60,3700,0,3750,0,0,0,0,0,0,0
6648,Antilos,50,2668,0,2966,0,0,0,0,0,0,0
5347,Antilus the Soarer,48,6670,0,2857,0,0,0,0,0,0,0
4018,Antlered Courser,23,609,0,940,0,0,0,0,0,0,0
844,Antonio Perelli Traveling Salesman,35,2016,0,1349,0,0,0,0,0,0,0
8127,Antu'sul Overseer of Sul,48,6830,2572,2855,829,0,0,0,0,0,0
6775,Antur Fallow,3,112,0,33,0,0,0,0,0,0,0
15956,Anub'Rekhan,63,1500000,0,4641,1375000,0,0,0,0,0,0
9031,Anub'shiah,54,16208,10205,3180,689,0,0,0,0,0,0
15424,Anubisath Conqueror,61,31440,0,4047,0,0,0,0,0,0,0
15277,Anubisath Defender,62,471000,0,4344,0,0,0,0,0,0,0
15355,Anubisath Guardian,62,61503,0,4344,0,0,0,0,0,0,0
15264,Anubisath Sentinel,61,108360,0,4047,0,0,0,0,0,0,0
15538,Anubisath Swarmguard,61,6474,0,4047,0,0,0,0,0,0,0
15751,Anubisath Warbringer,45,14784,0,2695,0,0,0,0,0,0,0
15311,Anubisath Warder,63,286560,0,4641,0,0,0,0,0,0,0
15537,Anubisath Warrior,61,38844,0,4047,0,0,0,0,0,0,0
8903,Anvilrage Captain,56,8097,0,3289,578,0,100,0,0,20,0
8892,Anvilrage Footman,52,7113,0,3060,519,0,100,0,0,20,0
8891,Anvilrage Guardsman,51,6850,0,3018,495,0,100,0,0,20,0
8898,Anvilrage Marshal,55,6273,4234,3232,476,0,0,0,0,0,0
8894,Anvilrage Medic,53,5151,9530,2524,483,0,100,0,0,20,0
8895,Anvilrage Officer,54,6078,4082,3178,502,0,0,0,0,0,0
8889,Anvilrage Overseer,49,6748,0,2912,468,0,100,0,0,20,0
8901,Anvilrage Reservist,55,784,0,3234,0,0,100,0,0,20,0
8893,Anvilrage Soldier,53,7359,0,3128,594,0,100,0,0,20,0
8890,Anvilrage Warden,50,6692,0,2966,482,0,100,0,0,20,0
10053,Anya Maulray Stable Master,30,1605,0,1179,0,0,0,0,0,0,0
2106,Apothecary Berard,16,1156,0,700,103,0,0,0,0,0,0
11057,Apothecary Dithers,58,4484,5461,2740,0,0,0,0,0,0,0
3735,Apothecary Falthis,22,471,1357,759,39,0,0,0,0,0,0
5414,Apothecary Faustin Royal Apothecary Society,40,1739,0,1938,0,0,0,0,0,0,0
3390,Apothecary Helbrim,22,1042,0,906,0,0,0,0,0,0,0
15512,Apothecary Jezel Purple Lotus Collector,1,5000,0,8,0,0,0,0,0,0,0
1518,Apothecary Johaan Royal Apothecary Society,20,919,0,836,0,0,0,0,0,0,0
2733,Apothecary Jorell,36,1479,0,1456,85,0,0,0,0,0,0
5732,Apothecary Katrina Royal Apothecary Society,20,919,0,836,0,0,0,0,0,0,0
5734,Apothecary Keever Royal Apothecary Society,20,919,0,836,0,0,0,0,0,0,0
5733,Apothecary Lycanus Royal Apothecary Society,20,919,0,836,0,0,0,0,0,0,0
2216,Apothecary Lydon Royal Apothecary Society,35,2016,0,1349,0,0,0,0,0,0,0
17070,Apothecary Quinard,55,2600,0,3234,0,0,0,0,0,0,0
1937,Apothecary Renferrel Royal Apothecary Society,14,594,0,630,0,0,0,0,0,0,0
16107,Apothecary Staffron Lerent Royal Apothecary Society,5,53,0,111,0,0,0,0,0,0,0
5731,Apothecary Vallia Royal Apothecary Society,20,919,0,836,0,0,0,0,0,0,0
3419,Apothecary Zamah Royal Apothecary Society,22,1042,0,906,0,0,0,0,0,0,0
5204,Apothecary Zinge Royal Apothecary Society,29,1528,0,1145,0,0,0,0,0,0,0
2363,Apprentice Honeywell,29,1528,0,1145,66,0,0,0,0,0,0
2788,Apprentice Kryten,30,1605,0,1179,0,0,0,0,0,0,0
1354,Apprentice Soren,3,112,0,33,0,0,0,0,0,0,0
6047,Aqua Guardian,23,537,0,940,45,0,0,0,0,0,0
4408,Aquatic Form Night Elf Druid,1,5000,0,8,0,0,0,0,0,0,0
4410,Aquatic Form Tauren Druid,1,5000,0,8,0,0,0,0,0,0,0
9453,Aquementas,54,4303,0,3180,257,0,54,54,54,54,54
14222,Araga,35,1342,0,1349,0,0,0,0,0,0,0
1852,Araj the Summoner,61,8258,7458,4044,603,0,0,0,0,0,0
15290,Arakis Hive'Zora Overlord,61,98773,9544,3263,4836,0,0,0,0,0,0
2390,Aranae Venomblood Herbalism Trainer,29,1528,0,1145,0,0,0,0,0,0,0
7009,Arantir The Hand of Chaos,45,5736,0,2695,0,0,0,0,0,0,0
5349,Arash-ethis,49,2667,0,2912,0,0,85,85,85,85,85
9528,Arathandris Silversky Emerald Circle,60,3857,2434,3748,0,0,0,0,0,0,0
14879,Arathi Basin Battlemaster,1,8,0,8,0,0,0,0,0,0,0
15063,Arathi Blacksmith,1,64,0,8,1,0,0,0,0,0,0
15045,Arathi Farmer,1,64,0,8,1,0,0,0,0,0,0
15107,Arathi Horse,1,64,0,8,1,0,0,0,0,0,0
15062,Arathi Lumberjack,1,64,0,8,1,0,0,0,0,0,0
15074,Arathi Miner,1,64,0,8,1,0,0,0,0,0,0
15086,Arathi Stablehand,1,64,0,8,1,0,0,0,0,0,0
11480,Arcane Aberration,60,7975,9476,3748,0,0,60,120,120,60,300
12801,Arcane Chimaerok,62,32148,0,4344,0,0,0,0,0,0,0
14400,Arcane Feedback,60,1960,0,3750,316,0,60,60,60,60,60
6232,Arcane Nullifier X-21,33,5550,0,1281,0,0,0,0,0,0,0
14399,Arcane Torrent,60,17246,0,3750,786,0,60,120,120,60,300
6487,Arcanist Doan,37,8924,8583,1300,572,0,0,0,0,0,0
15444,Arcanist Nozzlespring,60,12000,28755,3025,0,0,0,0,0,0,0
12473,Arcanite Dragonling,60,700,0,3750,1,0,0,0,0,0,0
3516,Arch Druid Fandral Staghelm,63,712100,170320,4637,0,0,630,504,504,504,504
5769,Arch Druid Hamuul Runetotem,62,4079,2568,4340,0,0,0,0,0,0,0
13442,Arch Druid Renferal,60,22104,0,3750,844,0,0,0,0,0,0
2748,Archaedas Ancient Stone Watcher,47,29408,0,2804,1770,0,0,0,0,0,0
2911,Archaeologist Flagongut Explorers' League,44,2868,0,2528,0,0,0,0,0,0,0
2913,Archaeologist Hollee Explorers' League,12,500,0,562,0,0,0,0,0,0,0
1284,Archbishop Benedictus,63,180111,153080,3736,0,0,0,0,0,0,0
5202,Archery Target,1,64,0,8,0,0,0,0,0,0,0
11870,Archibald Weapon Master,50,6830,0,2966,0,0,0,0,0,0,0
2113,Archibald Kava Cloth & Leather Armor Merchant,5,166,0,111,0,0,0,0,0,0,0
10811,Archivist Galford,60,19454,7302,3748,1189,0,0,0,0,0,0
7666,Archmage Allistarj,58,13572,45780,3394,907,0,116,0,116,0,116
16116,Archmage Angela Dosantos Brotherhood of the Light,60,100000,73020,3748,0,0,0,0,0,0,0
2543,Archmage Ansirem Runeweaver Kirin Tor,40,1227,3191,1590,0,0,0,0,0,0,0
4275,Archmage Arugal,26,6890,1372,1042,425,0,0,0,0,0,0
2120,Archmage Ataeric,22,471,1357,759,39,0,0,0,0,0,0
12779,Archmage Gaiman,55,4108,5013,2609,0,0,0,0,0,0,0
2708,Archmage Malin,40,2471,0,1938,0,0,0,0,0,0,0
3047,Archmage Shymm Mage Trainer,60,3139,0,3750,0,0,0,0,0,0,0
16381,Archmage Tarsis Kir-Moldir,60,19500,243400,3025,0,0,0,0,0,0,0
4967,Archmage Tervosh,38,2284,0,1684,0,0,0,0,0,0,0
8379,Archmage Xylem,60,3857,5751,3025,0,0,0,0,0,0,0
5198,Arctic Riding Wolf,10,413,0,463,0,0,0,0,0,0,0
711,Ardo Dirtpaw,24,593,618,975,44,0,0,0,0,0,0
1312,Ardwyn Cailen Wand Merchant,30,1605,0,1179,0,0,0,0,0,0,0
9598,Arei,56,3150,0,3289,702,0,112,112,112,112,112
9599,Arei Transformation Visual,1,5000,0,8,0,0,0,0,0,0,0
8916,Arena Spectator,54,2735,2041,3178,150,0,0,0,0,0,0
16510,Argent Charger,1,5000,0,8,0,0,0,0,0,0,0
16434,Argent Dawn Champion The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
16435,Argent Dawn Cleric The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
16433,Argent Dawn Crusader The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
16228,Argent Dawn Infantry The Argent Dawn,60,4700,0,3750,0,0,0,0,0,0,0
16384,Argent Dawn Initiate The Argent Dawn,1,300,0,8,0,0,0,0,0,0,0
16395,Argent Dawn Paladin The Argent Dawn,1,300,0,8,0,0,0,0,0,0,0
16436,Argent Dawn Priest The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
16513,Argent Deathcharger,1,5000,0,8,0,0,0,0,0,0,0
16512,Argent Deathsteed,1,5000,0,8,0,0,0,0,0,0,0
11194,Argent Defender The Argent Dawn,55,4108,0,3234,689,0,0,0,0,0,0
16285,Argent Emissary The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
11099,Argent Guard The Argent Dawn,55,4108,0,3234,199,0,30,0,0,0,70
4784,Argent Guard Manados The Argent Dawn,23,1106,0,940,0,0,30,0,0,0,70
4787,Argent Guard Thaelrid The Argent Dawn,18,804,0,768,0,0,30,0,0,0,70
16508,Argent Horse,1,8,0,8,0,0,0,0,0,0,0
16284,Argent Medic The Argent Dawn,58,6937,9156,3394,0,0,0,0,0,0,0
16359,Argent Messenger The Argent Dawn,55,5228,0,3234,0,0,0,0,0,0,0
16511,Argent Mount,1,8,0,8,0,0,0,0,0,0,0
10839,Argent Officer Garush The Argent Dawn,60,3857,0,3750,0,0,0,0,0,0,0
10840,Argent Officer Pureheart The Argent Dawn,60,3857,0,3750,0,0,0,0,0,0,0
16787,Argent Outfitter The Argent Dawn,1,300,0,8,0,0,0,0,0,0,0
16786,Argent Quartermaster The Argent Dawn,1,300,0,8,0,0,0,0,0,0,0
10856,Argent Quartermaster Hasana The Argent Dawn,58,4484,0,3396,0,0,0,0,0,0,0
10857,Argent Quartermaster Lightspark The Argent Dawn,58,4484,0,3396,0,0,0,0,0,0,0
16241,Argent Recruiter The Argent Dawn,1,300,0,8,0,0,0,0,0,0,0
11102,Argent Rider The Argent Dawn,60,9763,0,3750,0,0,30,0,0,0,70
16255,Argent Scout The Argent Dawn,1,8,0,8,0,0,0,0,0,0,0
16378,Argent Sentry The Argent Dawn,60,9763,0,3750,0,0,0,0,0,0,0
16509,Argent Warhorse,60,3052,0,3750,0,0,0,0,0,0,0
4984,Argos Nightwhisper,20,919,0,836,0,0,0,0,0,0,0
2318,Argus Shadow Mage,36,1320,2763,1241,70,0,0,0,0,0,0
4087,Arias'ta Bladesinger Warrior Trainer,60,3139,0,3750,0,0,0,0,0,0,0
931,Ariena Stormfeather Gryphon Master,55,7423,0,3234,0,0,0,0,0,0,0
10882,Arikara Vengeance,28,2659,0,1111,0,0,2,2,2,2,2
11702,Arin'sor Ravasaur Trainers,60,4103,0,3750,318,0,0,0,0,0,0
16105,Aristan Mottar,5,5000,0,111,0,0,0,0,0,0,0
4203,Ariyell Skyshadow Weapon Merchant,30,1605,0,1179,0,0,0,0,0,0,0
6135,Arkkoran Clacker,54,3335,0,4770,154,0,0,0,0,0,0
6136,Arkkoran Muckdweller,54,3292,0,3180,154,0,0,0,0,0,0
6138,Arkkoran Oracle,55,2617,2117,3232,136,0,0,0,0,0,0
6137,Arkkoran Pincer,55,3318,0,4851,158,0,0,0,0,0,0
11018,Arko'narin,48,5361,0,2857,0,0,0,0,0,0,0
4573,Armand Cromwell Fishing Trainer,35,2016,0,1349,0,0,0,0,0,0,0
